,Tweet,target,tokenized_tweet,cleaned_tweet
1306,الله أكبر القدس عاصمة فلسطين الأبدية لقد فتحتم أبواب جهنم عليكم يهود,-1,الله أكبر القدس عاصمة فلسطين الأبدية لقد فتحتم أبواب جهنم عليكم يهود,"['الله', 'أكبر', 'القدس', 'عاصمة', 'فلسطين', 'الأبدية', 'لقد', 'فتحتم', 'أبواب', 'جهنم', 'عليكم', 'يهود']"
1307,وجود لنشطاء لجمعيات حقوق الإنسان مجموعة الانتهازيين والمرتزقة ولو اقتضى الأمر حساب أمن ومصلحة الوطن,-1,وجود لنشطاء لجمعيات حقوق الإنسان مجموعة الانتهازيين والمرتزقة ولو اقتضى الأمر حساب أمن ومصلحة الوطن,"['وجود', 'لنشطاء', 'لجمعيات', 'حقوق', 'الإنسان', 'مجموعة', 'الانتهازيين', 'والمرتزقة', 'ولو', 'اقتضى', 'الأمر', 'حساب', 'أمن', 'ومصلحة', 'الوطن']"
1308,حسبنا الله الوكيل. قيوم برحمتك نستغيث، اصلح امورنا كلها تكلنا انفسنا طرفة,-1,حسبنا الله الوكيل قيوم برحمتك نستغيث اصلح امورنا كلها تكلنا انفسنا طرفة,"['حسبنا', 'الله', 'الوكيل', 'قيوم', 'برحمتك', 'نستغيث', 'اصلح', 'امورنا', 'كلها', 'تكلنا', 'انفسنا', 'طرفة']"
1309,وضعية صعبة جبال جزر الوقواق !!ليس البلد الضروف .,-1,وضعية صعبة جبال جزر الوقواق ليس البلد الضروف,"['وضعية', 'صعبة', 'جبال', 'جزر', 'الوقواق', 'ليس', 'البلد', 'الضروف']"
1310,هدا اسباب الموت والامراض والهجرة والدعارة والتسول والاجرام ووو. ونعم التوزيع العادل إلا !,-1,هدا اسباب الموت والامراض والهجرة والدعارة والتسول والاجرام ووو ونعم التوزيع العادل إلا,"['هدا', 'اسباب', 'الموت', 'والامراض', 'والهجرة', 'والدعارة', 'والتسول', 'والاجرام', 'ووو', 'ونعم', 'التوزيع', 'العادل', 'إلا']"
1311,المرجو السلطات الالتفات جزء الاطلس الكبير المنسي المهمش ابعد الحدود،وهم سكان امين الدونيت قبائل سكساوة بشيشاوة,-1,المرجو السلطات الالتفات جزء الاطلس الكبير المنسي المهمش ابعد الحدود وهم سكان امين الدونيت قبائل سكساوة بشيشاوة,"['المرجو', 'السلطات', 'الالتفات', 'جزء', 'الاطلس', 'الكبير', 'المنسي', 'المهمش', 'ابعد', 'الحدود', 'وهم', 'سكان', 'امين', 'الدونيت', 'قبائل', 'سكساوة', 'بشيشاوة']"
1312,"المغربي (بلا تعميم طبعاً) ""محكور"" حل وارتحل لأنه ببساطة شديدة ""حكار"" قرارة نفسه.",-1,المغربي بلا تعميم طبعا محكور حل وارتحل لأنه ببساطة شديدة حكار قرارة نفسه,"['المغربي', 'بلا', 'تعميم', 'طبعا', 'محكور', 'حل', 'وارتحل', 'لأنه', 'ببساطة', 'شديدة', 'حكار', 'قرارة', 'نفسه']"
1313,اغبى شعب فالعالم دابا سؤال 😂😂😂 سولو الجماجم الجزائرية مزالا فرنسا,-1,اغبى شعب فالعالم دابا سؤال سولو الجماجم الجزائرية مزالا فرنسا,"['اغبى', 'شعب', 'فالعالم', 'دابا', 'سؤال', 'سولو', 'الجماجم', 'الجزائرية', 'مزالا', 'فرنسا']"
1314,حسبك ايها الماكر الغرور تضع شروط تتحول شرور وتعصف باحلامك,-1,حسبك ايها الماكر الغرور تضع شروط تتحول شرور وتعصف باحلامك,"['حسبك', 'ايها', 'الماكر', 'الغرور', 'تضع', 'شروط', 'تتحول', 'شرور', 'وتعصف', 'باحلامك']"
1315,العقول المنوره شعوبها الراقية ليست كالحالة الزفت لصحافة وشعوب وحكام القزدير والشوهة,-1,العقول المنوره شعوبها الراقية ليست كالحالة الزفت لصحافة وشعوب وحكام القزدير والشوهة,"['العقول', 'المنوره', 'شعوبها', 'الراقية', 'ليست', 'كالحالة', 'الزفت', 'لصحافة', 'وشعوب', 'وحكام', 'القزدير', 'والشوهة']"
1316,لمغرب العربي تحت رحمة السياسة الفرنسية,-1,لمغرب العربي تحت رحمة السياسة الفرنسية,"['لمغرب', 'العربي', 'تحت', 'رحمة', 'السياسة', 'الفرنسية']"
1317,الشعب لايريد حقوق حريات جنسيه افطار علني,-1,الشعب لايريد حقوق حريات جنسيه افطار علني,"['الشعب', 'لايريد', 'حقوق', 'حريات', 'جنسيه', 'افطار', 'علني']"
1318,أطلقوا سراح المعتقلين ابحثوا سارقي المال العام,-1,أطلقوا سراح المعتقلين ابحثوا سارقي المال العام,"['أطلقوا', 'سراح', 'المعتقلين', 'ابحثوا', 'سارقي', 'المال', 'العام']"
1319,عنف هدا الفصيلة الافريقية عنف القردة المتوحشة وبهدا التمرد المفتعل الخطير,-1,عنف هدا الفصيلة الافريقية عنف القردة المتوحشة وبهدا التمرد المفتعل الخطير,"['عنف', 'هدا', 'الفصيلة', 'الافريقية', 'عنف', 'القردة', 'المتوحشة', 'وبهدا', 'التمرد', 'المفتعل', 'الخطير']"
1320,إلا بالله العلي العظيم,-1,إلا بالله العلي العظيم,"['إلا', 'بالله', 'العلي', 'العظيم']"
1321,المرجوا نتجند جميعا لنطرد الحيونات المفترسة المغرب رغم النظام,-1,المرجوا نتجند جميعا لنطرد الحيونات المفترسة المغرب رغم النظام,"['المرجوا', 'نتجند', 'جميعا', 'لنطرد', 'الحيونات', 'المفترسة', 'المغرب', 'رغم', 'النظام']"
1322,قلنا الأفارقة راهم يخافون يحشمو,-1,قلنا الأفارقة راهم يخافون يحشمو,"['قلنا', 'الأفارقة', 'راهم', 'يخافون', 'يحشمو']"
1323,،استغرب لهاذ السياسية خصوصا شبابنا يعاني البطالة الفقر,-1,استغرب لهاذ السياسية خصوصا شبابنا يعاني البطالة الفقر,"['استغرب', 'لهاذ', 'السياسية', 'خصوصا', 'شبابنا', 'يعاني', 'البطالة', 'الفقر']"
1324,قوم تركوا للقدر سياتون الاخضر واليابس.....قوم يميلون البحث عمل.....قوم يتسولون .... يريدون العيش عالة عباد الله.....لدلك وجب تاطيرهم,-1,قوم تركوا للقدر سياتون الاخضر واليابس قوم يميلون البحث عمل قوم يتسولون يريدون العيش عالة عباد الله لدلك وجب تاطيرهم,"['قوم', 'تركوا', 'للقدر', 'سياتون', 'الاخضر', 'واليابس', 'قوم', 'يميلون', 'البحث', 'عمل', 'قوم', 'يتسولون', 'يريدون', 'العيش', 'عالة', 'عباد', 'الله', 'لدلك', 'وجب', 'تاطيرهم']"
1325,لعنة الله آل سعود ابناء اليهود ..,-1,لعنة الله آل سعود ابناء اليهود,"['لعنة', 'الله', 'آل', 'سعود', 'ابناء', 'اليهود']"
1326,الله كيدكُم نُحورِكُمْ ياخنازير الأُمَّـة,-1,الله كيدك حور ياخنازير الأ ـة,"['الله', 'كيدك', 'حور', 'ياخنازير', 'الأ', 'ـة']"
1328,الشعب كله يكذب وانتم الصادقون اطباء???نعم انتم دائما غائبون,-1,الشعب كله يكذب وانتم الصادقون اطباء نعم انتم دائما غائبون,"['الشعب', 'كله', 'يكذب', 'وانتم', 'الصادقون', 'اطباء', 'نعم', 'انتم', 'دائما', 'غائبون']"
1331,عاهر السعوديةعسى الله يطقكم انتو وايران ورئيس مصر وحلفائه ..وتاكلوا,-1,عاهر السعوديةعسى الله يطقكم انتو وايران ورئيس مصر وحلفائه وتاكلوا,"['عاهر', 'السعوديةعسى', 'الله', 'يطقكم', 'انتو', 'وايران', 'ورئيس', 'مصر', 'وحلفائه', 'وتاكلوا']"
1332,اخرس ياكلب يانجس لاتتكلم اسيادك بمص,-1,اخرس ياكلب يانجس لاتتكلم اسيادك بمص,"['اخرس', 'ياكلب', 'يانجس', 'لاتتكلم', 'اسيادك', 'بمص']"
1333,السعودية الغبية تاكل الطعم قريبا ههههه,-1,السعودية الغبية تاكل الطعم قريبا ههههه,"['السعودية', 'الغبية', 'تاكل', 'الطعم', 'قريبا', 'ههه']"
1334,كيانكم اضعف تكون عاصمه، انتم حثالة العالم.,-1,كيانكم اضعف تكون عاصمه انتم حثالة العالم,"['كيانكم', 'اضعف', 'تكون', 'عاصمه', 'انتم', 'حثالة', 'العالم']"
1335,محمد سلمان الصهيوني خادم الصهاينة الوفي 👎👎👎 بإذن الله تعالى سيكون زوال ملك آل سلول يديه,-1,محمد سلمان الصهيوني خادم الصهاينة الوفي بإذن الله تعالى سيكون زوال ملك آل سلول يديه,"['محمد', 'سلمان', 'الصهيوني', 'خادم', 'الصهاينة', 'الوفي', 'بإذن', 'الله', 'تعالى', 'سيكون', 'زوال', 'ملك', 'آل', 'سلول', 'يديه']"
1336,ربي ينكِّس أعلامكُم ..ويقلل مقداركَم يامُهانين ..,-1,ربي ينك أعلامك ويقلل مقدارك يام هانين,"['ربي', 'ينك', 'أعلامك', 'ويقلل', 'مقدارك', 'يام', 'هانين']"
1337,يامُتخاذلين ياأعداء الإسلام والمُسلمين,-1,يام تخاذلين ياأعداء الإسلام والم سلمين,"['يام', 'تخاذلين', 'ياأعداء', 'الإسلام', 'والم', 'سلمين']"
1338,الاحرار سجن عكاشة حاملي شعار عاف الله عما سلف الفيلات. المنطق والا فلا.,-1,الاحرار سجن عكاشة حاملي شعار عاف الله عما سلف الفيلات المنطق والا فلا,"['الاحرار', 'سجن', 'عكاشة', 'حاملي', 'شعار', 'عاف', 'الله', 'عما', 'سلف', 'الفيلات', 'المنطق', 'والا', 'فلا']"
1339,الصيادة تهمهم مصلحتهم فقط حولة إلا بالله,-1,الصيادة تهمهم مصلحتهم فقط حولة إلا بالله,"['الصيادة', 'تهمهم', 'مصلحتهم', 'فقط', 'حولة', 'إلا', 'بالله']"
1340,البلطجية والشفارة واش نتوما بنادم كاتقاتلو بيناتكوم أش بغيتو السلطة دير كاملين خاسكوم الحبس,-1,البلطجية والشفارة واش نتوما بنادم كاتقاتلو بيناتكوم أش بغيتو السلطة دير كاملين خاسكوم الحبس,"['البلطجية', 'والشفارة', 'واش', 'نتوما', 'بنادم', 'كاتقاتلو', 'بيناتكوم', 'أش', 'بغيتو', 'السلطة', 'دير', 'كاملين', 'خاسكوم', 'الحبس']"
1341,ناس جاهلة وماشي مرة نسمعو صراعات خاص ساكنة الصحراء يترقاو شوية رآه العنف ماشي الحل,-1,ناس جاهلة وماشي مرة نسمعو صراعات خاص ساكنة الصحراء يترقاو شوية رآه العنف ماشي الحل,"['ناس', 'جاهلة', 'وماشي', 'مرة', 'نسمعو', 'صراعات', 'خاص', 'ساكنة', 'الصحراء', 'يترقاو', 'شوية', 'رآه', 'العنف', 'ماشي', 'الحل']"
1342,سياسة القمع الإخضاع السيطرة والهيمنة القطاع طرف يحسبون سماسرة الصيد بالجنوب,-1,سياسة القمع الإخضاع السيطرة والهيمنة القطاع طرف يحسبون سماسرة الصيد بالجنوب,"['سياسة', 'القمع', 'الإخضاع', 'السيطرة', 'والهيمنة', 'القطاع', 'طرف', 'يحسبون', 'سماسرة', 'الصيد', 'بالجنوب']"
1343,القطاع يجلب الملايير لاصحاب النفود !واخنوش وضع ليضمن امتيازات المخزن نهب ثروة الشعب !!,-1,القطاع يجلب الملايير لاصحاب النفود واخنوش وضع ليضمن امتيازات المخزن نهب ثروة الشعب,"['القطاع', 'يجلب', 'الملايير', 'لاصحاب', 'النفود', 'واخنوش', 'وضع', 'ليضمن', 'امتيازات', 'المخزن', 'نهب', 'ثروة', 'الشعب']"
1345,ماكانتوش كاتسمعو دابا غادين تولييو تشوفو غاديين تحسو,-1,ماكانتوش كاتسمعو دابا غادين تولييو تشوفو غاديين تحسو,"['ماكانتوش', 'كاتسمعو', 'دابا', 'غادين', 'تولييو', 'تشوفو', 'غاديين', 'تحسو']"
1346,واش بغيتوهم يبداو يتكرفسو العادي والبادي تبقاو خاطر خاطركم,-1,واش بغيتوهم يبداو يتكرفسو العادي والبادي تبقاو خاطر خاطركم,"['واش', 'بغيتوهم', 'يبداو', 'يتكرفسو', 'العادي', 'والبادي', 'تبقاو', 'خاطر', 'خاطركم']"
1347,الكرامة تكون مبعثرة .يمكن القول بالطفولة المغتصبة تجد الطفل يلعب عار الجسد حاف القدم اهده كرامة مبعثرة هدا أكتر الحرام,-1,الكرامة تكون مبعثرة يمكن القول بالطفولة المغتصبة تجد الطفل يلعب عار الجسد حاف القدم اهده كرامة مبعثرة هدا أكتر الحرام,"['الكرامة', 'تكون', 'مبعثرة', 'يمكن', 'القول', 'بالطفولة', 'المغتصبة', 'تجد', 'الطفل', 'يلعب', 'عار', 'الجسد', 'حاف', 'القدم', 'اهده', 'كرامة', 'مبعثرة', 'هدا', 'أكتر', 'الحرام']"
1348,نعيش ازمة تربية. وازمة مجتمع. وازمة تربية القيم. بالطبع. اننا نعيش كاننا اعداء . نعيش ازمة اخلاق وقيم. ونتربا ونورتها.,-1,نعيش ازمة تربية وازمة مجتمع وازمة تربية القيم بالطبع اننا نعيش كاننا اعداء نعيش ازمة اخلاق وقيم ونتربا ونورتها,"['نعيش', 'ازمة', 'تربية', 'وازمة', 'مجتمع', 'وازمة', 'تربية', 'القيم', 'بالطبع', 'اننا', 'نعيش', 'كاننا', 'اعداء', 'نعيش', 'ازمة', 'اخلاق', 'وقيم', 'ونتربا', 'ونورتها']"
1349,سؤال غبي يستحق الرد الساخر الرئيس الفرنسي ماكرون.,-1,سؤال غبي يستحق الرد الساخر الرئيس الفرنسي ماكرون,"['سؤال', 'غبي', 'يستحق', 'الرد', 'الساخر', 'الرئيس', 'الفرنسي', 'ماكرون']"
1350,سؤال غبي يحمل طياته عقلية معقدة ترى عجو والعدو صديق,-1,سؤال غبي يحمل طياته عقلية معقدة ترى عجو والعدو صديق,"['سؤال', 'غبي', 'يحمل', 'طياته', 'عقلية', 'معقدة', 'ترى', 'عجو', 'والعدو', 'صديق']"
1351,صحف ديال المرقة نتوما هوما انعل جد بابكم الكلب تساهمون تكليخ الشعب إستبلاده حسبنا الله الوكيل فيكم,-1,صحف ديال المرقة نتوما هوما انعل جد بابكم الكلب تساهمون تكليخ الشعب إستبلاده حسبنا الله الوكيل فيكم,"['صحف', 'ديال', 'المرقة', 'نتوما', 'هوما', 'انعل', 'جد', 'بابكم', 'الكلب', 'تساهمون', 'تكليخ', 'الشعب', 'إستبلاده', 'حسبنا', 'الله', 'الوكيل', 'فيكم']"
1352,صحفي مفقوس مسكين,-1,صحفي مفقوس مسكين,"['صحفي', 'مفقوس', 'مسكين']"
1353,هده شروط قاسية حق لعبين اجتهدوا ودافعوا بكل استماتة القميص الوطني حمزة منديل النصيري بوفال.,-1,هده شروط قاسية حق لعبين اجتهدوا ودافعوا بكل استماتة القميص الوطني حمزة منديل النصيري بوفال,"['هده', 'شروط', 'قاسية', 'حق', 'لعبين', 'اجتهدوا', 'ودافعوا', 'بكل', 'استماتة', 'القميص', 'الوطني', 'حمزة', 'منديل', 'النصيري', 'بوفال']"
1354,إنه يصطاد المياه العكرة لأنه عديم الاصل والنسب ولربما والديه المرتزقة المارقين.,-1,إنه يصطاد المياه العكرة لأنه عديم الاصل والنسب ولربما والديه المرتزقة المارقين,"['إنه', 'يصطاد', 'المياه', 'العكرة', 'لأنه', 'عديم', 'الاصل', 'والنسب', 'ولربما', 'والديه', 'المرتزقة', 'المارقين']"
1355,إهانة للجزائر للمغرب أيضا. أصبحنا الضرات بيت العريس الفرنسي. الله يرحم أمجادنا صافي,-1,إهانة للجزائر للمغرب أيضا أصبحنا الضرات بيت العريس الفرنسي الله يرحم أمجادنا صافي,"['إهانة', 'للجزائر', 'للمغرب', 'أيضا', 'أصبحنا', 'الضرات', 'بيت', 'العريس', 'الفرنسي', 'الله', 'يرحم', 'أمجادنا', 'صافي']"
1356,وانت ايها الكاتب كتبت مقال عريض وعجزت تكتب صلى الله وسلم بدل,-1,وانت ايها الكاتب كتبت مقال عريض وعجزت تكتب صلى الله وسلم بدل,"['وانت', 'ايها', 'الكاتب', 'كتبت', 'مقال', 'عريض', 'وعجزت', 'تكتب', 'صلى', 'الله', 'وسلم', 'بدل']"
1357,ينطق الفقيه ويناقضه السياسي، اعلم الاتفاق متوافق والاثنين اتجاهين ونحن بدون اتجاه.,-1,ينطق الفقيه ويناقضه السياسي اعلم الاتفاق متوافق والاثنين اتجاهين ونحن بدون اتجاه,"['ينطق', 'الفقيه', 'ويناقضه', 'السياسي', 'اعلم', 'الاتفاق', 'متوافق', 'والاثنين', 'اتجاهين', 'ونحن', 'بدون', 'اتجاه']"
1358,أفهم المسلمون نقلد الغرب فقط الأشياء التافهة للأسف إبتعدنا كثيرا ديننا,-1,أفهم المسلمون نقلد الغرب فقط الأشياء التافهة للأسف إبتعدنا كثيرا ديننا,"['أفهم', 'المسلمون', 'نقلد', 'الغرب', 'فقط', 'الأشياء', 'التافهة', 'للأسف', 'إبتعدنا', 'كثيرا', 'ديننا']"
1359,إلغاء العيد يتضرر الإقتصاد،عبدالله النهاري ينشر فيديوهات تدعو لإرهاب والتطرف وووالجهل,-1,إلغاء العيد يتضرر الإقتصاد عبدالله النهاري ينشر فيديوهات تدعو لإرهاب والتطرف وووالجهل,"['إلغاء', 'العيد', 'يتضرر', 'الإقتصاد', 'عبدالله', 'النهاري', 'ينشر', 'فيديوهات', 'تدعو', 'لإرهاب', 'والتطرف', 'وووالجهل']"
1360,يحبون يعشقون المستعمر . سلااام حب جميل بثينة كراهية الأخوة هههه,-1,يحبون يعشقون المستعمر سلااام حب جميل بثينة كراهية الأخوة هههه,"['يحبون', 'يعشقون', 'المستعمر', 'سلااام', 'حب', 'جميل', 'بثينة', 'كراهية', 'الأخوة', 'ههه']"
1361,العماري يدافع التجارة نسى مبيعات رأس السنة الخمر والسياحة الجنسية,-1,العماري يدافع التجارة نسى مبيعات رأس السنة الخمر والسياحة الجنسية,"['العماري', 'يدافع', 'التجارة', 'نسى', 'مبيعات', 'رأس', 'السنة', 'الخمر', 'والسياحة', 'الجنسية']"
1362,امثال هاذ المحرضين يلزمهم تلقي دروس المدنية والتحضر العيش المشترك ينته فوجب تطبيق قانون مكافحة الارهاب فوالله اغرقنا مستنقع الدم امثال الرجل ابتلينا به.,-1,امثال هاذ المحرضين يلزمهم تلقي دروس المدنية والتحضر العيش المشترك ينته فوجب تطبيق قانون مكافحة الارهاب فوالله اغرقنا مستنقع الدم امثال الرجل ابتلينا به,"['امثال', 'هاذ', 'المحرضين', 'يلزمهم', 'تلقي', 'دروس', 'المدنية', 'والتحضر', 'العيش', 'المشترك', 'ينته', 'فوجب', 'تطبيق', 'قانون', 'مكافحة', 'الارهاب', 'فوالله', 'اغرقنا', 'مستنقع', 'الدم', 'امثال', 'الرجل', 'ابتلينا', 'به']"
1363,والله عندو المنتخب باك صاحبي حاظي جرا,-1,والله عندو المنتخب باك صاحبي حاظي جرا,"['والله', 'عندو', 'المنتخب', 'باك', 'صاحبي', 'حاظي', 'جرا']"
1364,لعيب ليس الشيخ المعتوه يفرق akh دجنبر دجنبرe1، العيب السلطات تتركه ينفث سمومه وامراضه النفسية المواطنين,-1,لعيب ليس الشيخ المعتوه يفرق دجنبر دجنبر العيب السلطات تتركه ينفث سمومه وامراضه النفسية المواطنين,"['لعيب', 'ليس', 'الشيخ', 'المعتوه', 'يفرق', 'دجنبر', 'دجنبر', 'العيب', 'السلطات', 'تتركه', 'ينفث', 'سمومه', 'وامراضه', 'النفسية', 'المواطنين']"
1365,أصبحنا نرى أشياء يتقبلها العقل تدل الفساد بشتى انواعه حسبنا الله ونعم الوكيل.,-1,أصبحنا نرى أشياء يتقبلها العقل تدل الفساد بشتى انواعه حسبنا الله ونعم الوكيل,"['أصبحنا', 'نرى', 'أشياء', 'يتقبلها', 'العقل', 'تدل', 'الفساد', 'بشتى', 'انواعه', 'حسبنا', 'الله', 'ونعم', 'الوكيل']"
1366,اتريد شيخ التخلف تحرمنا دراهم بيع حلوة راءس العام ..تخفف عبء ديوننا .تشغيل العمال..,-1,اتريد شيخ التخلف تحرمنا دراهم بيع حلوة راءس العام تخفف عبء ديوننا تشغيل العمال,"['اتريد', 'شيخ', 'التخلف', 'تحرمنا', 'دراهم', 'بيع', 'حلوة', 'راءس', 'العام', 'تخفف', 'عبء', 'ديوننا', 'تشغيل', 'العمال']"
1367,المعقول بقي لسنة الجذيذ التجارة تكون شذة ضروتها يأتي. الفقيه يفتي أمور هية المجتمع زمن طويل ونحن نحتفل بيعد راءس السنة,-1,المعقول بقي لسنة الجذيذ التجارة تكون شذة ضروتها يأتي الفقيه يفتي أمور هية المجتمع زمن طويل ونحن نحتفل بيعد راءس السنة,"['المعقول', 'بقي', 'لسنة', 'الجذيذ', 'التجارة', 'تكون', 'شذة', 'ضروتها', 'يأتي', 'الفقيه', 'يفتي', 'أمور', 'هية', 'المجتمع', 'زمن', 'طويل', 'ونحن', 'نحتفل', 'بيعد', 'راءس', 'السنة']"
1368,السياسة نفاق. هوما يتافقوا حساب الشعب النغلوب أمره. وهبي...الأزمي... زمرة واحدة,-1,السياسة نفاق هوما يتافقوا حساب الشعب النغلوب أمره وهبي الأزمي زمرة واحدة,"['السياسة', 'نفاق', 'هوما', 'يتافقوا', 'حساب', 'الشعب', 'النغلوب', 'أمره', 'وهبي', 'الأزمي', 'زمرة', 'واحدة']"
1369,المغاربة جميعا يتحمل المشاكل .لأننا برمي الازبال الشارع أنابيب المياه العادمة,-1,المغاربة جميعا يتحمل المشاكل لأننا برمي الازبال الشارع أنابيب المياه العادمة,"['المغاربة', 'جميعا', 'يتحمل', 'المشاكل', 'لأننا', 'برمي', 'الازبال', 'الشارع', 'أنابيب', 'المياه', 'العادمة']"
1370,كفاكم ضحكا الذقون،هل النصارى يحتلفون بأعيادنا؟,-1,كفاكم ضحكا الذقون هل النصارى يحتلفون بأعيادنا,"['كفاكم', 'ضحكا', 'الذقون', 'هل', 'النصارى', 'يحتلفون', 'بأعيادنا']"
1371,أشاد يشيد نحتج نستنكر نغضب خط أحمر خط أزرق بركة .....أنزل ادير شي حاجة الشعب عيينا هاد الهضرة الخاوية,-1,أشاد يشيد نحتج نستنكر نغضب خط أحمر خط أزرق بركة أنزل ادير شي حاجة الشعب عيينا هاد الهضرة الخاوية,"['أشاد', 'يشيد', 'نحتج', 'نستنكر', 'نغضب', 'خط', 'أحمر', 'خط', 'أزرق', 'بركة', 'أنزل', 'ادير', 'شي', 'حاجة', 'الشعب', 'عيينا', 'هاد', 'الهضرة', 'الخاوية']"
1372,"تصريح السيد النهاري كالتوقف ""ويل للمصلين"". السيد النهاري يحرم الكيفية يُحْتَفل المناسبة وليس المناسبة نفسها",-1,تصريح السيد النهاري كالتوقف ويل للمصلين السيد النهاري يحرم الكيفية فل المناسبة وليس المناسبة نفسها,"['تصريح', 'السيد', 'النهاري', 'كالتوقف', 'ويل', 'للمصلين', 'السيد', 'النهاري', 'يحرم', 'الكيفية', 'فل', 'المناسبة', 'وليس', 'المناسبة', 'نفسها']"
1373,الشعب المغربي الضحية يعاني جهة ---بالخصوص الاصلي,-1,الشعب المغربي الضحية يعاني جهة بالخصوص الاصلي,"['الشعب', 'المغربي', 'الضحية', 'يعاني', 'جهة', 'بالخصوص', 'الاصلي']"
1374,المعاصي تغضب الله تقع المغرب طول السنة :من نهب الميزانيات +تفقير الشعب+لا صحة +لا تعليم+لا أمن+......,-1,المعاصي تغضب الله تقع المغرب طول السنة من نهب الميزانيات تفقير الشعب لا صحة لا تعليم لا أمن,"['المعاصي', 'تغضب', 'الله', 'تقع', 'المغرب', 'طول', 'السنة', 'من', 'نهب', 'الميزانيات', 'تفقير', 'الشعب', 'لا', 'صحة', 'لا', 'تعليم', 'لا', 'أمن']"
1375,إننا زمن الخرافات وكأن الإنسان يسمع ويرى الهرج المرضي يروجه المتاجر بخزعبلاته استغلالا لسذاجة الكثيرين والذين يعرفون مفهوم التدين نسخته الداعشية.,-1,إننا زمن الخرافات وكأن الإنسان يسمع ويرى الهرج المرضي يروجه المتاجر بخزعبلاته استغلالا لسذاجة الكثيرين والذين يعرفون مفهوم التدين نسخته الداعشية,"['إننا', 'زمن', 'الخرافات', 'وكأن', 'الإنسان', 'يسمع', 'ويرى', 'الهرج', 'المرضي', 'يروجه', 'المتاجر', 'بخزعبلاته', 'استغلالا', 'لسذاجة', 'الكثيرين', 'والذين', 'يعرفون', 'مفهوم', 'التدين', 'نسخته', 'الداعشية']"
1376,غش غش كلشي مغشوش بديت نشك شي المغرب كيخدم بنزاهة وضمير كنضن قليل رحم ربي,-1,غش غش كلشي مغشوش بديت نشك شي المغرب كيخدم بنزاهة وضمير كنضن قليل رحم ربي,"['غش', 'غش', 'كلشي', 'مغشوش', 'بديت', 'نشك', 'شي', 'المغرب', 'كيخدم', 'بنزاهة', 'وضمير', 'كنضن', 'قليل', 'رحم', 'ربي']"
1377,أرى الصور. ......أشعر بتقصير كبير اتجاه المجتمع الإنساني حولي.,-1,أرى الصور أشعر بتقصير كبير اتجاه المجتمع الإنساني حولي,"['أرى', 'الصور', 'أشعر', 'بتقصير', 'كبير', 'اتجاه', 'المجتمع', 'الإنساني', 'حولي']"
1378,العقدة سلام المعنى الحقيقي لكلمة (ممصروطش ليه),-1,العقدة سلام المعنى الحقيقي لكلمة ممصروطش ليه,"['العقدة', 'سلام', 'المعنى', 'الحقيقي', 'لكلمة', 'ممصروطش', 'ليه']"
1379,يعقل دولة مسلمة تحتفل النصرى,-1,يعقل دولة مسلمة تحتفل النصرى,"['يعقل', 'دولة', 'مسلمة', 'تحتفل', 'النصرى']"
1380,حرام. حرام. حرام .حرام وقع لهؤلاء تجار الدين,-1,حرام حرام حرام حرام وقع لهؤلاء تجار الدين,"['حرام', 'حرام', 'حرام', 'حرام', 'وقع', 'لهؤلاء', 'تجار', 'الدين']"
1381,كيما محنتينا فهاد البرد الله يجعل ربي يمحنك,-1,كيما محنتينا فهاد البرد الله يجعل ربي يمحنك,"['كيما', 'محنتينا', 'فهاد', 'البرد', 'الله', 'يجعل', 'ربي', 'يمحنك']"
1382,لايحرم الله. النهاري انسان عادي متقف مخترع نابغة ولا....,-1,لايحرم الله النهاري انسان عادي متقف مخترع نابغة ولا,"['لايحرم', 'الله', 'النهاري', 'انسان', 'عادي', 'متقف', 'مخترع', 'نابغة', 'ولا']"
1383,فهاد البلاد كاين دين قانون شي يشرق اوشي اغرب شي احلال اوشي احرم شي اطبق القانون اوشي اقلب الثغرات فالقانون,-1,فهاد البلاد كاين دين قانون شي يشرق اوشي اغرب شي احلال اوشي احرم شي اطبق القانون اوشي اقلب الثغرات فالقانون,"['فهاد', 'البلاد', 'كاين', 'دين', 'قانون', 'شي', 'يشرق', 'اوشي', 'اغرب', 'شي', 'احلال', 'اوشي', 'احرم', 'شي', 'اطبق', 'القانون', 'اوشي', 'اقلب', 'الثغرات', 'فالقانون']"
1384,إغضب...فإن الله يخلكم خاضعين,-1,إغضب فإن الله يخلكم خاضعين,"['إغضب', 'فإن', 'الله', 'يخلكم', 'خاضعين']"
1385,..كفى كنزها البنوك فستكوى جباهكم جنوبكم ظهوركم...ام الدين عندكم فقط الشفوي الشفوي المظهر الخارجي..,-1,كفى كنزها البنوك فستكوى جباهكم جنوبكم ظهوركم ام الدين عندكم فقط الشفوي الشفوي المظهر الخارجي,"['كفى', 'كنزها', 'البنوك', 'فستكوى', 'جباهكم', 'جنوبكم', 'ظهوركم', 'ام', 'الدين', 'عندكم', 'فقط', 'الشفوي', 'الشفوي', 'المظهر', 'الخارجي']"
1386,إغضب...فإن الارض تعشق الثائرين,-1,إغضب فإن الارض تعشق الثائرين,"['إغضب', 'فإن', 'الارض', 'تعشق', 'الثائرين']"
